estrategia,CLAIM,EVIDENCIA,FONTE,QUALIFICADOR,notas_com_spans,spans_por_nota_com_span,spans_por_nota_total
E1,563,925,2376,11,1568,2.47,2.04
E2,1324,1689,1535,78,1413,3.27,2.43
