escopo,P,R,F1
micro,0.011,0.02,0.014
CLAIM,0.0,0.0,0.0
EVIDENCIA,0.051,0.036,0.043
FONTE,0.0,0.0,0.0
QUALIFICADOR,0.0,0.0,0.0
