escopo,P,R,F1
micro,0.293,0.485,0.366
CLAIM,0.321,0.447,0.374
EVIDENCIA,0.375,0.491,0.425
FONTE,0.132,0.714,0.222
QUALIFICADOR,0.0,0.0,0.0
